nut,-11:00
sst,-11:00
ckhst,-10:00
ckt,-10:00
hdt,-10:00
hst,-10:00
taht,-10:00
mart,-09:30
bdt,-09:00
gamt,-09:00
hadt,-09:00
hast,-09:00
ahdt,-08:00
ahst,-08:00
akdt,-08:00
akst,-08:00
capt,-08:00
cat,-08:00
cawt,-08:00
pnt,-08:00
yst,-08:00
pdt,-07:00
ppt,-07:00
pst,-07:00
pwt,-07:00
yddt,-07:00
ydt,-07:00
ypt,-07:00
ywt,-07:00
chdt,-06:00
galt,-06:00
mddt,-06:00
mdt,-06:00
mpt,-06:00
mst,-06:00
mwt,-06:00
pddt,-06:00
sjmt,-06:00
acst,-05:00
act,-05:00
cddt,-05:00
cdt,-05:00
cost,-05:00
cot,-05:00
cpt,-05:00
cst,-05:00
cwt,-05:00
easst,-05:00
east,-05:00
ect,-05:00
emt,-05:00
pest,-05:00
pet,-05:00
ppmt,-05:00
qmt,-05:00
ant,-04:00
bmt,-04:00
bost,-04:00
bot,-04:00
eddt,-04:00
edt,-04:00
ehdt,-04:00
ept,-04:00
est,-04:00
ewt,-04:00
ffmt,-04:00
gbgt,-04:00
gyt,-04:00
hmt,-04:00
sdmt,-04:00
vet,-04:00
addt,-03:00
adt,-03:00
apt,-03:00
arst,-03:00
art,-03:00
awt,-03:00
clst,-03:00
clt,-03:00
cmt,-03:00
fkst,-03:00
fkt,-03:00
gft,-03:00
negt,-03:00
pmt,-03:00
pyst,-03:00
pyt,-03:00
rott,-03:00
smt,-03:00
srt,-03:00
uyhst,-03:00
uyst,-03:00
uyt,-03:00
warst,-03:00
wart,-03:00
wgst,-03:00
wgt,-03:00
nddt,-02:30
ndt,-02:30
npt,-02:30
nst,-02:30
nwt,-02:30
brst,-02:00
brt,-02:00
fnst,-02:00
fnt,-02:00
pmdt,-02:00
pmst,-02:00
azomt,-01:00
azost,-01:00
azot,-01:00
cgst,-01:00
cgt,-01:00
cvst,-01:00
cvt,-01:00
egst,-01:00
egt,-01:00
bdst,+00:00
bst,+00:00
cant,+00:00
dmt,+00:00
fmt,+00:00
ghst,+00:00
gmt,+00:00
isst,+00:00
lrt,+00:00
madmt,+00:00
madst,+00:00
madt,+00:00
uct,+00:00
utc,+00:00
wemt,+00:00
cemt,+01:00
cest,+01:00
cet,+01:00
nest,+01:00
net,+01:00
wat,+01:00
west,+01:00
wet,+01:00
